wave11	wave12	wave21	wave22	wave31	wave32	sign	species	reference
1685	1705	1709	1729	1803	1823	A	BL1719	(Fanelli+90)
1803	1823	1838	1868	1885	1915	A	BL1853	(Fanelli+90)
2285	2325	2333	2359	2432	2458	A	Fe2332	(Fanelli+90)
2285	2325	2382	2422	2432	2458	A	Fe2402	(Fanelli+90)
2432	2458	2520	2556	2562	2588	A	BL2538	(Fanelli+90)
2562	2588	2596	2622	2647	2673	A	Fe2609	(Fanelli+90)
2470	2670	2670	2870	2930	3130	A	Mgwide	(Fanelli+90)
2647	2673	2713	2733	2762	2782	A	BL2720	(Fanelli+90)
2647	2673	2736	2762	2762	2782	A	BL2740	(Fanelli+90)
2762	2782	2784	2814	2818	2838	A	Mg2800	(Fanelli+90)
2818	2838	2839	2865	2906	2936	A	Mg2852	(Fanelli+90)
2906	2936	2965	3025	3031	3051	A	Fe3000	(Fanelli+90)
3031	3051	3086	3106	3115	3155	A	BL3096	(Fanelli+90)
3310	3320	3328	3340	3342	3355	A	Mg3334	(Serven+11)
3332	3350	3350	3400	3415	3435	A	NH3360	(Davidge,Clark94)
3342	3352	3350	3400	3415	3435	A	NH3375	(Serven+11)
3499	3508	3511	3530	3532	3548	A	Ni3520	(Gregg94)
3532	3548	3548	3594	3594	3602	A	Fe3581	(Gregg94)
3594	3602	3602	3623.5	3623.5	3628.5	A	Fe3619	(Gregg94)
3625.5	3628.5	3628.5	3637.5	3659	3674	A	Fe3631	(Gregg94)
3625.5	3628.5	3642.5	3650	3659	3674	A	Fe3646	(Gregg94)
3659	3674	3676	3691.5	3693.5	3700	A	Fe3683	(Gregg94)
3693.5	3700	3701	3711	3775	3784	A	Fe3706	(Gregg94)
3693.5	3700	3701	3772	3775	3784	A	Fe3741	(Gregg94)
3760	3780	3780	3900	3900	3915	M	UV_CN	(Pickles85,Davidge,Clark94)
3775	3784	3786	3802	3802.5	3811	A	H10Fe	(Gregg94)
3785	3810	3810	3910	3910	3925	M	CNB	(Brodie,Huchra90)
3802.5	3811	3814	3843	3843.5	3860	A	MgH93838	(Gregg94)
3768.1	3812.3	3840.3	3883.4	3896.4	3916.2	A	CNO3862	(Serven+05)
3802.5	3811	3847	3880	3909	3918	M	CN3883	(Gregg94)
3806.5	3833.8	3899.5	4003.5	4020.7	4052.4	A	CaHK	(Serven+05)
3900	3915	3915	4000	4000	4020	A	CaIIH_K	(Pickles85)
3909	3918	3924.5	3942.5	3995.5	4010	A	CaK3933	(Gregg94)
3910	3925	3925	3995	3995	4010	M	H_K	(Brodie,Huchra90)
3909	3918	3959.5	3977.5	3995.5	4010	A	CaH3968	(Gregg94)
4014	4025.5	4025.5	4085	4085	4093	A	FeBand	(Gregg94)
4014	4025.5	4027.5	4039	4085	4093	A	Fe4033	(Gregg94)
4014	4025.5	4041	4051	4085	4093	A	Fe4046	(Gregg94)
4014	4025.5	4056	4070	4085	4093	A	Fe4064	(Gregg94)
4014	4025.5	4071	4083	4085	4093	A	Sr4077	(Gregg94)
4041.6	4079.75	4083.5	4122.25	4128.5	4161	A	HdA	(Worthey,Ottaviani97)
4057.25	4088.5	4091	4112.25	4114.75	4137.25	A	HdF	(Worthey,Ottaviani97)
4082.5	4123.3	4129.4	4219.8	4243.3	4284.2	A	CNO4175	(Serven+11)
4080.125	4117.625	4142.125	4177.125	4244.125	4284.125	M	CN1	(Trager+98)
4083.875	4096.375	4142.125	4177.125	4244.125	4284.125	M	CN2	(Trager+98)
4211	4219.75	4222.25	4234.75	4241	4251	A	Ca4227	(Trager+98)
4266.375	4282.625	4281.375	4316.375	4318.875	4335.125	A	G4300	(Trager+98)
4283.5	4319.75	4319.75	4363.5	4367.25	4419.75	A	HgA	(Worthey,Ottaviani97)
4317	4320	4320.5	4329.5	4330	4333.5	A	Fe4326	(Gregg94)
4283.5	4319.75	4331.25	4352.25	4354.75	4384.75	A	HgF	(Worthey,Ottaviani97)
4331.5	4341	4331.5	4351.875	4359.25	4368.75	A	Hg_sigma_275	(Vazdekis,Arimoto99)
4331	4340.75	4332	4352.25	4359.25	4368.75	A	Hg_sigma_200	(Vazdekis,Arimoto99)
4330	4340.468	4333	4352.737	4359.25	4368.75	A	Hg_sigma_125	(Vazdekis,Arimoto99)
4329	4340.468	4333.25	4363	4352.5	4368.25	A	Hg_sigma_130	(Vazdekis+01)
4359.125	4370.375	4369.125	4420.375	4442.875	4455.375	A	Fe4383	(Trager+98)
4359.5	4367.5	4448.5	4467	4502.5	4512	A	Fe4457	(Gregg94)
4445.875	4454.625	4452.125	4474.625	4477.125	4492.125	A	Ca4455	(Trager+98)
4504.25	4514.25	4514.25	4559.25	4560.5	4579.25	A	Fe4531	(Trager+98)4557.3,4589.5
4502.5	4512	4520	4538	4611	4628	A	Fe4592	(Gregg94)
4502.5	4512	4543	4557	4611	4628	A	FeII4550	(Gregg94)
4502.5	4512	4578	4603	4611	4628	A	Ca4592	(Gregg94)
4557.3	4589	4626.4	4743.3	4805.1	4835.3	A	CO4685	(Serven+05)
4611.5	4630.25	4634	4720.25	4742.75	4756.5	A	C2_4668	(Trager+98)
4742.75	4756.5	4758.5	4800	4827.875	4847.875	M	bTiO	(Spiniello+14)
4738.9	4757.3	4760.8	4798.8	4819.8	4835.5	A	Mg4780	(Serven+05)
4821.175	4838.404	4839.275	4877.097	4897.445	4915.845	A	Hbeta_o	(Cervantes,Vazdekis+09)
4827.875	4847.875	4847.875	4876.625	4876.625	4891.625	A	Hbeta	(Trager+98)
4895.5	4905	4914	4926	4943	4951.5	A	Fe4920	(Gregg94)
4946.5	4977.75	4977.75	5054	5054	5065.25	A	Fe5015	(Trager+98)
4895.125	4957.625	5069.125	5134.125	5301.125	5366.125	M	Mg1	(Trager+98)
4941	4955	5084	5140	5305	5314	A	MgH	(Gregg94)
5125	5150	5150	5195	5195	5220	A	MgG	(Brodie,Huchra90)
4895.125	4957.625	5154.125	5196.625	5301.125	5366.125	M	Mg2	(Trager+98)
4940.00	4950.00	4951.00	4971.00	4972.00	4982.00	E	[OIII]4958	Emission
4990.00	4995.00	4996.00	5020.00	5021.00	5031.00	E	[OIII]5007	Emission
5142.625	5161.375	5160.125	5192.625	5191.375	5206.375	A	Mgb	(Trager+98)
5233.15	5248.15	5245.65	5285.65	5285.65	5318.15	A	Fe5270	(Trager+98)
5304.625	5315.875	5312.125	5352.125	5353.375	5363.375	A	Fe5335	(Trager+98)
5376.25	5387.5	5387.5	5415	5415	5425	A	Fe5406	(Trager+98)
5420	5442	5445	5600	5630	5655	M	aTiO	(Spiniello+14)
5672.875	5696.625	5696.625	5720.375	5722.875	5736.625	A	Fe5709	(Trager+98)
5765.375	5775.375	5776.625	5796.625	5797.875	5811.625	A	Fe5782	(Trager+98)
5860.625	5875.625	5876.875	5909.375	5922.125	5948.125	A	NaD	(Trager+98)
5816.625	5849.125	5936.625	5994.125	6038.625	6103.625	M	TiO1	(Trager+98)
6090	6145	6155	6177	6178	6185	A	Ca6162	(Gregg94)
6090	6145	6185	6193	6201	6210	A	Fe6189	(Gregg94)
6066.625	6141.625	6189.625	6272.125	6372.625	6415.125	M	TiO2	(Trager+98)
6066.625	6141.625	6189.625	6272.125	6422	6455	M	TiO2sdss	(LaBarbera+13)
6342.125	6356.5	6357.5	6401.75	6408.5	6429.75	M	CaH1	(Spiniello+14)
6467	6478	6487	6504	6504	6513	A	Fe6497	(Gregg94)
6420	6455	6548	6578	6600	6640	A	Halpha	(Cohen+98)
6522	6542	6554	6570	6585	6625	A	Ha_Gregg94	(Gregg94)
6510	6539.25	6775	6900	7017	7064	M	CaH2	(Spiniello+14)
8150	8170	8170	8220	8250	8270	A	IR_NaI	(Pickles85)
8143	8153	8180	8200	8233	8244	A	NaI8190sdss	(LaBarbera+13)
8164	8173	8180	8200	8233	8244	A	NaI8200A	(Vazdekis+12)
8350	8400	8450	8700	8750	8800	M	TiO1_0.85	(Carter+86)
8447.5	8462.5	8483	8513	8842.5	8857.5	A	Ca_DTT_1	(Diaz+89)
8474	8484	8484	8513	8563	8577	A	Ca1	(Cenarro+01,LaBarbera+13)
8474	8489	8490	8506	8521	8531	A	CaAZ88_1	(Armandroff,Zinn88)
8474	8484	8522	8562	8563	8577	A	Ca2	(Cenarro+01,LaBarbera+13)
8447.5	8462.5	8527	8557	8842.5	8857.5	A	Ca_DTT_2	(Diaz+89)
8521	8531	8532	8552	8555	8595	A	CaAZ88_2	(Armandroff,Zinn88)
8619	8642	8642	8682	8700	8725	A	Ca3	(Cenarro+01,LaBarbera+13)
8447.5	8462.5	8647	8677	8842.5	8857.5	A	Ca_DTT_3	(Diaz+89)
8626	8650	8653	8671	8695	8725	A	CaAZ88_3	(Armandroff,Zinn88)
8775	8787	8799.5	8814	8845	8855	A	MgI_DTT	(Diaz+89)
8790	8840	8890	9060	9100	9150	M	TiO2_0.89	(Carter+86)
9050	9090	9160	9300	9300	9380	A	IR_CN	(Pickles85)
