wave	sky_flux	sky_flux_err
4.75E+03	1.00E-06	1.00E-05
4.75E+03	1.00E-06	1.00E-05
4.75E+03	1.00E-06	1.00E-05
4.75E+03	1.00E-06	1.00E-05
4.75E+03	1.00E-06	1.00E-05
4.76E+03	1.00E-06	1.00E-05
4.76E+03	1.00E-06	1.00E-05
4.76E+03	1.00E-06	1.00E-05
4.76E+03	1.00E-06	1.00E-05
4.76E+03	1.00E-06	1.00E-05
4.76E+03	1.00E-06	1.00E-05
4.76E+03	1.00E-06	1.00E-05
4.76E+03	1.00E-06	1.00E-05
4.77E+03	1.00E-06	1.00E-05
4.77E+03	1.00E-06	1.00E-05
4.77E+03	1.00E-06	1.00E-05
4.77E+03	1.00E-06	1.00E-05
4.77E+03	1.00E-06	1.00E-05
4.77E+03	1.00E-06	1.00E-05
4.77E+03	1.00E-06	1.00E-05
4.77E+03	1.00E-06	1.00E-05
4.78E+03	1.00E-06	1.00E-05
4.78E+03	1.00E-06	1.00E-05
4.78E+03	1.00E-06	1.00E-05
4.78E+03	1.00E-06	1.00E-05
4.78E+03	1.00E-06	1.00E-05
4.78E+03	1.00E-06	1.00E-05
4.78E+03	1.00E-06	1.00E-05
4.78E+03	1.00E-06	1.00E-05
4.79E+03	1.00E-06	1.00E-05
4.79E+03	1.00E-06	1.00E-05
4.79E+03	1.00E-06	1.00E-05
4.79E+03	1.00E-06	1.00E-05
4.79E+03	1.00E-06	1.00E-05
4.79E+03	1.00E-06	1.00E-05
4.79E+03	1.00E-06	1.00E-05
4.79E+03	1.00E-06	1.00E-05
4.80E+03	1.00E-06	1.00E-05
4.80E+03	1.00E-06	1.00E-05
4.80E+03	1.00E-06	1.00E-05
4.80E+03	1.00E-06	1.00E-05
4.80E+03	1.00E-06	1.00E-05
4.80E+03	1.00E-06	1.00E-05
4.80E+03	1.00E-06	1.00E-05
4.80E+03	1.00E-06	1.00E-05
4.81E+03	1.00E-06	1.00E-05
4.81E+03	1.00E-06	1.00E-05
4.81E+03	1.00E-06	1.00E-05
4.81E+03	1.00E-06	1.00E-05
4.81E+03	1.00E-06	1.00E-05
4.81E+03	1.00E-06	1.00E-05
4.81E+03	1.00E-06	1.00E-05
4.81E+03	1.00E-06	1.00E-05
4.82E+03	1.00E-06	1.00E-05
4.82E+03	1.00E-06	1.00E-05
4.82E+03	1.00E-06	1.00E-05
4.82E+03	1.00E-06	1.00E-05
4.82E+03	1.00E-06	1.00E-05
4.82E+03	1.00E-06	1.00E-05
4.82E+03	1.00E-06	1.00E-05
4.82E+03	1.00E-06	1.00E-05
4.83E+03	1.00E-06	1.00E-05
4.83E+03	1.00E-06	1.00E-05
4.83E+03	1.00E-06	1.00E-05
4.83E+03	1.00E-06	1.00E-05
4.83E+03	1.00E-06	1.00E-05
4.83E+03	1.00E-06	1.00E-05
4.83E+03	1.00E-06	1.00E-05
4.83E+03	1.00E-06	1.00E-05
4.84E+03	1.00E-06	1.00E-05
4.84E+03	1.00E-06	1.00E-05
4.84E+03	1.00E-06	1.00E-05
4.84E+03	1.00E-06	1.00E-05
4.84E+03	1.00E-06	1.00E-05
4.84E+03	1.00E-06	1.00E-05
4.84E+03	1.00E-06	1.00E-05
4.84E+03	1.00E-06	1.00E-05
4.85E+03	1.00E-06	1.00E-05
4.85E+03	1.00E-06	1.00E-05
4.85E+03	1.00E-06	1.00E-05
4.85E+03	1.00E-06	1.00E-05
4.85E+03	1.00E-06	1.00E-05
